美人鱼,喜剧 / 爱情 / 科幻,2016-02-08中国大陆上映 / 93分钟,富豪刘轩 （邓超饰）的地产计划涉及填海工程，威胁靠海为生的居民。因为人类对大海及生态的破坏，美人鱼只能被赶到了一艘破船里艰难生存，背负家族秘密的珊珊 （林允饰）被派遣前往阻止 填海计划。刘轩是一个靠自己努力才取得成就的人，虽然表面有钱但实则空虚寂寞的他和美人鱼珊珊在交手过程中互生情愫。刘轩最终因为爱上珊珊而停止填海工作，但珊珊却因意外受伤而消失于大海  。
烈火英雄,灾难 / 动作 / 剧情,2019-08-01中国大陆上映 / 120分钟,一场滨海城市石油码头的管道爆炸，牵连了整个原油储存区，一座储油量高达10万立方米的储油罐已经爆炸并且泄露，泄露的原油随时可能引爆临近的油罐，火灾不断升级，爆炸接连发生，然而这还都不是最恐怖的，火场不远处伫立的危险化学物储藏区，像跃跃欲试的魔鬼等待着被点燃，刹那便能带走几百万人的生命，威胁全市、全省，甚至邻国的安全。在这样的危难时刻，一批批消防队员告别家人，赶赴火场  。
未来想象记,动画 / 短片,2019-04-16日本上映 / 2分钟,LINE小说服务「LINEノベル」印象宣传片及「令和小説大賞」特别PV.
前任3：再见前任,喜剧 / 爱情,2017-12-29中国大陆上映 / 119分钟,本片讲述了一对好基友孟云（韩庚 饰）和余飞（郑恺 饰）跟女友都因为一点小事宣告分手，并且“拒绝挽回，死不认错”。两人在夜店、派对与交友软件上放飞人生第二春，大肆庆祝“黄金单身期”，从而引发了一系列好笑的故事。孟云与女友同甘共苦却难逃“五年之痒”，余飞与女友则棋逢敌手相爱相杀无绝期。然而现实的“打脸”却来得猝不及防：一对推拉纠结零往来，一对纠缠互怼全交代。两对恋人都将面对最终的选择：是再次相见？还是再也不见？
鬼灭之刃 兄妹的羁绊,动作 / 动画 / 惊悚 / 奇幻,2019-03-29日本上映 / 113分钟,舞台是大正日本。卖木炭的心地善良的少年炭治郎的日常生活因家人被魔鬼杀害而彻底改变。为了帮助唯一幸存下来的却变成凶恶鬼的妹妹隅豆子恢复如初，炭治郎踏上了为讨伐杀害家人的鬼的旅途……
战神诀,战争,2019中国大陆上映 / 90分钟,一个有着特殊传奇经历、而又极富个性的战神连长。一群狂野张扬各具特点的兵。艰苦训练殊死作战，灵与肉在血与火中残酷搏奕。铮铮铁骨雄性锋芒，交织着戳心彻骨荡气回肠的亲情友情爱情……
红海行动,剧情 / 动作,2018-02-16中国大陆上映 / 138分钟,"本片主要讲述了索马里海域外，中国商船遭遇劫持，船员全数沦为阶下囚。蛟龙突击队沉着应对，潜入商船进行突袭，成功解救全部人质。返航途中，非洲北部伊维亚共和国发生政变，恐怖组织连同叛军攻入首都，当地华侨面临危险，海军战舰接到上级命令改变航向，前往执行撤侨任务。蛟龙突击队八人，整装待发。时间紧迫，在“撤侨遇袭可反击，相反则必须避免交火，以免引起外交冲突”的大原则下，海军战舰及蛟龙突击队深入伊维亚，在恶劣的环境之下，借助海陆等多种装备，成功转移等候在码头的中国侨民，并在激烈的遭遇战之后，营救了被恐怖分子追击的中国领事馆巴士。然而事情尚未完结，就在掩护华侨撤离之际，蛟龙突击队收到中国人质被恐怖分子劫持的消息。众人深感责任重大，义无反顾地再度展开营救行动。前方路途险恶，蛟龙突击队即将遭遇的，远不止人质营救那么简单,恐怖分子的惊天阴谋即将浮出水面….."
我非英雄,剧情, 上映 / 110分钟,2020年初，新冠病毒疫情蔓延全国，在这场全国型的抗疫行动中，普通岗位上的平凡人也挺身而出，他们被称为“平凡英雄”，他们在抗疫工作和亲情之间做选择，见识了在生命面前，一切事情都变得卑微渺小，他们为家尽情，为国尽力。影片想要表达的就是伟大出自平凡，英雄来自人民。这些人用行动告诉我们，英雄从未走远，只要国家需要、人民需要，他们随时随地可以变身出征，为国家和人民贡献自己。他们平凡亦是英雄。
泰迦奥特曼剧场版 新世代CLIMAX,科幻 / 冒险,2020-03-06日本上映 ,作为民间警备组织E.G.I.S.的一员工作的工藤优信，有着变身为泰迦，泰塔斯，风马这个3人的奥特曼的能力。经过与无数敌人的战斗，优信和泰迦之间的羁绊更加深厚。但是，他们现在却被什么人瞄准了。知道这件事后，新生代的奥特曼们为了拯救他们，陆续集结。小光、翔、大地、凯、小陆、勇海、活海都来了。并且，泰迦的父亲，泰罗也来到了地球。但是，泰罗却猛烈地袭击了儿子泰迦。泰罗到底怎么了？泰迦能和父亲战斗吗！？现在，新生代正面临着巨大的黑暗力量！
宠爱,喜剧 / 爱情 / 剧情,2019-12-31中国大陆上映 / 108分钟,电影《宠爱》共由6段温暖的故事组成，不同年龄段的人们，在宠物的陪伴和守护中，收获爱、发现爱，更重新学会爱。在“爱”的主线下，一系列关于亲情、友情、爱情的故事逐一展开。
